Expiration,Strike,CallOI,PutOI
2025-03-21,553,19,23332
2025-03-21,554,34,11938
2025-03-21,555,219,55046
2025-03-21,556,24,19248
2025-03-21,557,126,13730
2025-03-21,558,141,17724
2025-03-21,559,721,11982
2025-03-21,560,3464,88164
2025-03-21,561,520,15640
2025-03-21,562,7593,24461
2025-03-21,563,7196,22567
2025-03-21,564,5299,39591
2025-03-21,565,19242,63913
2025-03-21,566,7975,10876
2025-03-21,567,14662,49362
2025-03-21,568,13404,22709
2025-03-21,569,13955,36332
2025-03-21,570,69848,55503
2025-03-21,571,13058,44989
2025-03-21,572,14641,33002
2025-03-21,573,23592,88897
2025-03-28,553,342,1807
2025-03-28,554,543,1186
2025-03-28,555,1171,7873
2025-03-28,556,376,764
2025-03-28,557,960,691
2025-03-28,558,959,2223
2025-03-28,559,828,2613
2025-03-28,560,3736,9453
2025-03-28,561,2174,1518
2025-03-28,562,1396,1732
2025-03-28,563,2049,1246
2025-03-28,564,1433,1753
2025-03-28,565,6029,6523
2025-03-28,566,3218,1447
2025-03-28,567,1201,853
2025-03-28,568,1908,760
2025-03-28,569,2140,687
2025-03-28,570,9593,4425
2025-03-28,571,1254,319
2025-03-28,572,2697,238
2025-03-28,573,3538,176
2025-04-04,553,98,361
2025-04-04,554,129,599
2025-04-04,555,716,12428
2025-04-04,556,194,4511
2025-04-04,557,178,403
2025-04-04,558,1318,1865
2025-04-04,559,292,482
2025-04-04,560,3099,7394
2025-04-04,561,869,747
2025-04-04,562,550,1606
2025-04-04,563,1200,482
2025-04-04,564,1799,2679
2025-04-04,565,3809,7769
2025-04-04,566,1115,578
2025-04-04,567,982,759
2025-04-04,568,994,620
2025-04-04,569,995,364
2025-04-04,570,5605,2147
2025-04-04,571,724,372
2025-04-04,572,639,772
2025-04-04,573,689,482

Summary - Total Open Interest By Strike
Strike,Total Call OI,Total Put OI,Put/Call Ratio
553,459,25500,55.56
554,706,13723,19.44
555,2106,75347,35.78
556,594,24523,41.28
557,1264,14824,11.73
558,2418,21812,9.02
559,1841,15077,8.19
560,10299,105011,10.20
561,3563,17905,5.03
562,9539,27799,2.91
563,10445,24295,2.33
564,8531,44023,5.16
565,29080,78205,2.69
566,12308,12901,1.05
567,16845,50974,3.03
568,16306,24089,1.48
569,17090,37383,2.19
570,85046,62075,0.73
571,15036,45680,3.04
572,17977,34012,1.89
573,27819,89555,3.22

GRAND TOTAL,289272,844713,2.92
